NO,FIRST,LAST,DATE,TIME,STALE?
1,Kevin,Bieksa,12,12:1:36,False
2,Kevin,Bieksa,12,12:1:39,False
3,Kevin,Bieksa,12,12:2:49,False
4,Kevin,Bieksa,12,12:2:50,False
5,Kevin,Bieksa,13,16:37:44,False
6,Kevin,Bieksa,13,16:37:45,False
7,Kevin,Bieksa,13,16:37:50,False
8,Kevin,Bieksa,13,16:37:51,False
9,Kevin,Bieksa,13,16:37:52,False
10,Nils,Hoglander,13,16:37:55,False
11,JT,Miller,13,16:38:5,False
12,Kevin,Bieksa,13,16:38:12,False
13,Kevin,Bieksa,13,16:38:13,False
14,Kevin,Bieksa,13,16:38:14,False
15,JT,Miller,13,16:38:15,False
16,Kevin,Bieksa,13,16:39:14,False
17,Kevin,Bieksa,13,16:39:15,False
18,Kevin,Bieksa,13,16:39:17,False
19,Kevin,Bieksa,13,16:39:19,False
20,Nils,Hoglander,13,16:39:20,False
21,JT,Miller,13,16:39:23,False
22,JT,Miller,13,16:39:24,False
23,InvalidID,InvalidID,13,16:39:30,False
24,InvalidID,InvalidID,13,16:39:32,False
25,InvalidID,InvalidID,13,16:39:33,False
